url,name,online_order,book_table,ratings,votes,location,rest_type,cuisines,cost_for_two,listed_in(type)
https://www.zomato.com/24-7RestaurantBangalore,24/7 - The Lalit Ashok Bangalore,No,Yes,4.0,344,Seshadripuram,Fine Dining,"Continental, North Indian, Italian, Chinese",3000.0,"Buffet, Dine-out"
https://www.zomato.com/29degreesnorth,29 Degrees North,Yes,No,3.9,287,Banaswadi,Quick Bites,"North Indian, Fast Food, Street Food",250.0,"Delivery, Dine-out"
https://www.zomato.com/ArborBrewIndia,Arbor Brewing Company,No,Yes,4.5,8419,Brigade Road,"Pub, Microbrewery","American, Continental",2000.0,"Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/BaluchiBangalore,Baluchi - The Lalit Ashok Bangalore,No,Yes,4.0,134,Seshadripuram,Fine Dining,"North Indian, Kashmiri, Mughlai",3700.0,Dine-out
https://www.zomato.com/Barebones,Barebones - The Balcony Bar,No,Yes,4.2,2445,Indiranagar,"Bar, Casual Dining","Chinese, Continental, Finger Food, Italian",1500.0,"Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/Beetlejuicebar,Beetle Juice Bar - Springs Hotel & Spa,No,Yes,3.7,64,Basavanagudi,Bar,Finger Food,2200.0,"Dine-out, Drinks & nightlife"
https://www.zomato.com/ChurchStreetSocial,Church Street Social,Yes,No,4.3,7584,Church Street,Lounge,"American, North Indian, Chinese, Finger Food, Momos",1500.0,"Delivery, Dine-out"
https://www.zomato.com/Cilantro,Cilantro,Yes,Yes,4.0,284,Koramangala 4th Block,"Casual Dining, Bar","European, American, Continental, North Indian, Steak",1500.0,"Buffet, Delivery, Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/FreshMenuIndiranagar,FreshMenu,Yes,No,3.8,1093,Indiranagar,Delivery,"Asian, Continental, Mediterranean, Salad, American, Biryani",450.0,Delivery
https://www.zomato.com/FreshMenuJPNagar,FreshMenu,Yes,No,3.3,628,Bannerghatta Road,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery
https://www.zomato.com/FreshMenuWhitefield,FreshMenu,Yes,No,3.2,835,Whitefield,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery
https://www.zomato.com/Just-Fresh-Point-Bangalore,Just Fresh Point,Yes,No,4.0,162,Electronic City,Quick Bites,"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",300.0,"Delivery, Dine-out"
https://www.zomato.com/LOFT38,LOFT38,No,Yes,4.3,3659,Indiranagar,"Lounge, Casual Dining","Continental, American, Asian, North Indian, Burger",2000.0,"Buffet, Dine-out, Drinks & nightlife"
https://www.zomato.com/MumbaiTiffin,Mumbai Tiffin,Yes,No,4.4,1290,HSR,Quick Bites,North Indian,400.0,"Delivery, Dine-out"
https://www.zomato.com/OkoBangalore,OKO - The Lalit Ashok Bangalore,No,Yes,4.0,207,Seshadripuram,Fine Dining,"Japanese, Asian",2200.0,Dine-out
https://www.zomato.com/Peacock,Peacock,Yes,Yes,4.0,863,Indiranagar,Casual Dining,"North Indian, BBQ, Mughlai",1200.0,"Buffet, Delivery, Dine-out"
https://www.zomato.com/SanchurroBangalore,San Churro Cafe,Yes,No,3.8,924,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,"Buffet, Cafes, Delivery, Desserts, Dine-out"
https://www.zomato.com/SarjapurSocial,Sarjapur Social,Yes,No,4.6,1324,Sarjapur Road,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food",1500.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/SmokeHouseDeli-Indiranagar,Smoke House Deli,Yes,Yes,4.6,5448,Indiranagar,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,"Delivery, Dine-out"
https://www.zomato.com/SmokeHouseDeli-LavelleRoad,Smoke House Deli,Yes,No,4.6,2521,Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak",1600.0,"Delivery, Dine-out"
https://www.zomato.com/SutraTheLoungeBangalore,Sutra - The Lalit Ashok Bangalore,No,No,3.8,273,Seshadripuram,Lounge,"Continental, Chinese",2200.0,"Dine-out, Drinks & nightlife"
https://www.zomato.com/WhitefieldSocial,Whitefield Social,Yes,No,4.1,2773,Whitefield,Pub,"American, North Indian, Chinese, Finger Food, Momos",1500.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/Woodstok,Woodstok,Yes,Yes,4.1,1054,Indiranagar,"Takeaway, Delivery","Continental, Italian, Steak, American",1400.0,Delivery
https://www.zomato.com/aligarh-house,Aligarh House,Yes,No,4.4,568,HSR,Delivery,"North Indian, Biryani, Awadhi, Mughlai",400.0,Delivery
https://www.zomato.com/amexicano-food-truck,Amexicano,No,No,3.8,31,East Bangalore,Food Truck,"American, Mexican",400.0,Dine-out
https://www.zomato.com/antarastriya,Antarastriya,Yes,No,3.9,462,Malleshwaram,Quick Bites,"Chinese, Fast Food, Momos",200.0,"Delivery, Dine-out"
https://www.zomato.com/artinciartisanalicecream,Artinci Artisanal Ice Cream,Yes,No,4.0,58,Whitefield,Dessert Parlor,"Desserts, Ice Cream",300.0,"Delivery, Desserts"
https://www.zomato.com/as-on-fire-food-truck,As On Fire,Yes,No,3.5,41,South Bangalore,Food Truck,"Pizza, Fast Food, BBQ",400.0,"Delivery, Dine-out"
https://www.zomato.com/bameys,Bamey's Restro Cafe,Yes,No,4.2,534,Koramangala 5th Block,Casual Dining,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/1-fahreheit-new-bel-road-bangalore,1 Fahreheit,No,No,4.5,0,New BEL Road,Dessert Parlor,"Desserts, Ice Cream",200.0,Desserts
https://www.zomato.com/bangalore/100%C2%B0c-btm,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,No,No,3.7,41,BTM,Casual Dining,"Biryani, North Indian",450.0,Dine-out
https://www.zomato.com/bangalore/1000-b-c-koramangala-5th-block-bangalore,1000 B.C,Yes,No,3.2,49,Koramangala 5th Block,Quick Bites,"Arabian, Sandwich, Rolls, Burger",300.0,Delivery
https://www.zomato.com/bangalore/11-to-11-express-biriyanis-electronic-city-bangalore,11 to 11 Express Biriyanis,Yes,No,3.5,22,Electronic City,Quick Bites,"Biryani, Kebab",300.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/1131-bar-kitchen-indiranagar-bangalore,1131 Bar + Kitchen,No,Yes,4.5,2861,Indiranagar,"Bar, Casual Dining","Continental, Asian, Italian, North Indian",1500.0,"Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/bangalore/12th-main-grand-mercure-koramangala-3rd-block,12th Main - Grand Mercure,No,Yes,4.1,357,Koramangala 3rd Block,Fine Dining,"European, Asian",2000.0,"Buffet, Dine-out"
https://www.zomato.com/bangalore/1441-pizzeria-jp-nagar-bangalore,1441 Pizzeria,Yes,No,4.1,149,JP Nagar,Casual Dining,"Pizza, Salad",800.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/1522-the-pub-koramangala-4th-block,1522 - The Pub,No,Yes,4.2,1746,Koramangala 4th Block,Pub,"Chinese, Continental, North Indian",1400.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/bangalore/1522-the-pub-malleshwaram,1522 - The Pub,Yes,No,4.2,1734,Malleshwaram,Pub,"Chinese, Continental, North Indian",1400.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/bangalore/1522-the-pub-new-bel-road,1522 - The Pub,No,No,4.3,969,New BEL Road,Pub,"Chinese, Continental, North Indian",1400.0,"Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/bangalore/154-breakfast-club-koramangala-3rd-block,154 Breakfast Club,Yes,Yes,4.0,1519,Koramangala 3rd Block,Cafe,"Cafe, Continental",900.0,"Cafes, Delivery, Dine-out"
https://www.zomato.com/bangalore/1722-urban-bistro-koramangala-5th-block-bangalore,1722 Urban Bistro,Yes,Yes,4.1,226,Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Fast Food, Biryani",600.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/18-ice-cafe-kammanahalli-bangalore,18+ Ice Cafe,No,No,3.5,25,Kammanahalli,Cafe,"Cafe, Fast Food, Chinese, Beverages",550.0,"Cafes, Delivery, Dine-out"
https://www.zomato.com/bangalore/1947-banashankari,1947,No,Yes,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/1947-jayanagar,1947,No,Yes,4.1,2359,Jayanagar,Casual Dining,"North Indian, Chinese",950.0,"Buffet, Delivery, Dine-out"
https://www.zomato.com/bangalore/1947-malleshwaram,1947,No,Yes,4.0,1070,Malleshwaram,Casual Dining,"North Indian, Chinese",950.0,"Buffet, Delivery, Dine-out"
https://www.zomato.com/bangalore/1947-rajajinagar,1947,No,Yes,3.9,621,Rajajinagar,Casual Dining,"North Indian, Chinese, Continental",1000.0,"Buffet, Delivery, Dine-out"
https://www.zomato.com/bangalore/1980s-games-cafe-basavanagudi,1980s Games Cafe,Yes,No,3.4,58,Basavanagudi,Cafe,"Cafe, Fast Food",400.0,"Cafes, Delivery, Dine-out"
https://www.zomato.com/bangalore/1992-chats-space-rajajinagar-bangalore,1992 Chats - Space,Yes,No,3.7,33,Rajajinagar,Quick Bites,Street Food,200.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/1q1-infantry-road,1Q1,No,Yes,4.3,612,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500.0,"Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/bangalore/1to3-kitchen-marathahalli,1TO3 Kitchen,No,No,3.1,11,Marathahalli,Delivery,"North Indian, Chinese, Continental, Italian, South Indian",800.0,Delivery
https://www.zomato.com/bangalore/2-statez-kalyan-nagar,2 Statez,Yes,No,3.7,214,Kalyan Nagar,Casual Dining,"Kerala, Seafood, South Indian, North Indian, Chinese",600.0,"Delivery, Dine-out"
https://www.zomato.com/bangalore/20-char-sterlings-mac-hotel-airport-road-bangalore,20 Char - Sterlings MAC Hotel,Yes,Yes,4.0,427,Old Airport Road,"Casual Dining, Bar","Chinese, Continental, North Indian, South Indian, Arabian",1400.0,"Buffet, Delivery, Dine-out, Pubs and bars"
https://www.zomato.com/bangalore/20-feet-high-church-street,20 Feet High,Yes,Yes,4.0,941,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad",1000.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars"
https://www.zomato.com/bangalore/21-c-la-marvella-sarovar-premiere-hotel-jayanagar-bangalore,21 C - La Marvella Sarovar Premiere Hotel,No,No,3.6,15,Jayanagar,Casual Dining,Continental,1000.0,Dine-out
